date,maxTem,minTem,weathers,wind
2012-04-06,20℃,13℃,阵雨转多云,微风 小于3级
2012-04-07,19℃,14℃,阵雨转多云,微风 小于3级
2012-04-08,21℃,12℃,阵雨转多云,微风 小于3级
2012-04-09,19℃,14℃,阵雨转多云,微风 小于3级
2012-04-10,21℃,12℃,阵雨转多云,微风 小于3级
2012-05-01,27℃,17℃,阴转多云,微风 小于3级
2012-05-02,25℃,18℃,多云转阵雨,南风 小于3级
2012-05-03,25℃,18℃,阵雨转阴,南风 小于3级
2012-05-04,25℃,17℃,阵雨,微风 小于3级
2012-05-05,27℃,19℃,阵雨,南风 小于3级
2012-05-06,25℃,19℃,阵雨转阴,微风 小于3级
2012-05-07,27℃,19℃,阵雨转多云,南风 小于3级
2012-05-08,27℃,19℃,阵雨转多云,南风 小于3级
2012-05-09,32℃,20℃,多云,南风 小于3级
2012-05-10,28℃,21℃,阵雨,南风 小于3级
2012-06-01,27℃,18℃,多云,南风 小于3级
2012-06-02,26℃,18℃,多云转阵雨,南风 小于3级
2012-06-03,25℃,18℃,阵雨,北风 小于3级
2012-06-04,25℃,17℃,阴转阵雨,南风 小于3级
2012-06-05,24℃,19℃,阴转小雨,北风 小于3级
2012-06-06,26℃,20℃,阴,南风 小于3级
2012-06-07,29℃,21℃,多云,南风 小于3级
2012-06-08,29℃,20℃,多云,南风 小于3级
2012-06-09,29℃,21℃,多云转阵雨,南风 小于3级
2012-06-10,30℃,21℃,多云,南风 小于3级
2012-07-01,28℃,22℃,阴转多云,南风 小于3级
2012-07-02,27℃,23℃,阵雨转中雨,南风~北风 小于3级
2012-07-03,25℃,21℃,阴转中到大雨,南风 小于3级
2012-07-04,26℃,21℃,中雨转阵雨,微风 小于3级
2012-07-05,30℃,21℃,多云,南风 小于3级
2012-07-06,29℃,23℃,多云转阵雨,南风 小于3级
2012-07-07,29℃,23℃,多云转雷阵雨,南风~北风 3-4级
2012-07-08,29℃,23℃,阵雨转小到中雨,南风 小于3级
2012-07-09,28℃,22℃,阵雨转阴,南风 小于3级
2012-07-10,28℃,23℃,阵雨,北风 小于3级
2012-08-01,28℃,23℃,阵雨转多云,微风 小于3级
2012-08-02,31℃,23℃,阴转阵雨,北风 小于3级
2012-08-03,32℃,23℃,多云,南风 小于3级
2012-08-04,33℃,24℃,多云,南风 小于3级
2012-08-05,33℃,24℃,阴转多云,南风 小于3级
2012-08-06,29℃,24℃,阴转中雨,北风 3-4级
2012-08-07,33℃,23℃,阵雨转多云,微风~南风 小于3级
2012-08-08,34℃,24℃,晴,南风 小于3级
2012-08-09,34℃,24℃,晴,南风 小于3级
2012-08-10,35℃,25℃,晴,南风 小于3级
2012-09-01,24℃,20℃,中雨,北风 3-4级
2012-09-02,28℃,21℃,阵雨转多云,微风 小于3级
2012-09-03,29℃,20℃,多云转晴,南风 小于3级
2012-09-04,30℃,21℃,多云,南风 小于3级
2012-09-05,31℃,20℃,多云,微风 小于3级
2012-09-06,30℃,21℃,多云,南风 小于3级
2012-09-07,29℃,21℃,阵雨,南风 小于3级
2012-09-08,29℃,21℃,阵雨转多云,南风 小于3级
2012-09-09,30℃,21℃,多云,南风 小于3级
2012-09-10,27℃,20℃,中雨,微风 小于3级
2012-10-01,24℃,17℃,多云,南风 小于3级
2012-10-02,20℃,17℃,小雨,南风 小于3级
2012-10-03,23℃,17℃,小雨转多云,微风 小于3级
2012-10-04,22℃,17℃,阵雨转阴,微风 小于3级
2012-10-05,21℃,16℃,小雨转阴,微风 小于3级
2012-10-06,22℃,16℃,小雨,微风 小于3级
2012-10-07,21℃,17℃,小雨转阵雨,微风 小于3级
2012-10-08,20℃,16℃,小雨,微风 小于3级
2012-10-09,23℃,14℃,阴,微风 小于3级
2012-10-10,21℃,15℃,阵雨,微风 小于3级
2012-11-01,22℃,11℃,多云,南风 小于3级
2012-11-02,22℃,12℃,多云,南风 小于3级
2012-11-03,16℃,11℃,阵雨转阴,北风 3-4级
2012-11-04,17℃,6℃,多云,微风 小于3级
2012-11-05,17℃,8℃,多云转阴,微风 小于3级
2012-11-06,14℃,10℃,小雨,微风 小于3级
2012-11-07,14℃,10℃,阵雨,微风 小于3级
2012-11-08,14℃,9℃,阵雨,微风 小于3级
2012-11-09,17℃,10℃,阴转多云,南风 3-4级
2012-11-10,17℃,11℃,阵雨转阴,微风 小于3级
2012-12-01,12℃,5℃,小雨转多云,微风 小于3级
2012-12-02,14℃,5℃,多云,南风 小于3级
2012-12-03,11℃,3℃,多云转阴,南风 小于3级
2012-12-04,12℃,5℃,多云,南风 小于3级
2012-12-05,13℃,4℃,阴转多云,南风 小于3级
2012-12-06,15℃,3℃,多云,南风 小于3级
2012-12-07,12℃,6℃,多云,南风 小于3级
2012-12-08,12℃,8℃,阴,微风 微风
2012-12-09,12℃,8℃,阴,微风 微风
2012-12-10,12℃,6℃,阴转小雨,北风 小于3级
2013-01-01,8℃,-2℃,多云,南风 小于3级
2013-01-02,7℃,1℃,多云转阴,南风~微风 小于3级
2013-01-03,4℃,-1℃,雨夹雪,北风 3-4级
2013-01-04,4℃,-1℃,小雪转阴,北风 3-4级
2013-01-05,5℃,0℃,雨夹雪转阴,北风 3-4级
2013-01-06,5℃,0℃,雨夹雪,微风 小于3级
2013-01-07,7℃,-2℃,多云转阴,南风 小于3级
2013-01-08,8℃,0℃,阴转多云,南风 小于3级
2013-01-09,9℃,-1℃,多云,南风 小于3级
2013-01-10,8℃,1℃,阴转多云,南风 小于3级
2013-02-01,16℃,5℃,多云,南风 小于3级
2013-02-02,15℃,7℃,阴转多云,南风 小于3级
2013-02-03,16℃,7℃,多云,南风 小于3级
2013-02-04,18℃,8℃,多云,南风 小于3级
2013-02-05,18℃,6℃,多云,南风 小于3级
2013-02-06,16℃,8℃,多云,南风 小于3级
2013-02-07,13℃,6℃,阴转小雨,微风 小于3级
2013-02-08,9℃,3℃,小雨,北风 3-4级
2013-02-09,11℃,2℃,阴,北风~南风 3-4级~小于3级
2013-02-10,11℃,2℃,多云,南风 小于3级
2013-03-01,15℃,9℃,阴转小雨,微风 小于3级
2013-03-02,17℃,6℃,多云,北风 3-4级
2013-03-03,17℃,6℃,多云,北风 小于3级
2013-03-04,19℃,7℃,多云,南风 小于3级
2013-03-05,20℃,7℃,晴,南风 小于3级
2013-03-06,21℃,9℃,多云,南风 小于3级
2013-03-07,24℃,9℃,多云转晴,南风 小于3级
2013-03-08,25℃,11℃,晴转多云,南风 小于3级
2013-03-09,26℃,10℃,多云,南风 小于3级
2013-03-10,25℃,10℃,多云,南风 小于3级
2013-04-01,25℃,15℃,阵雨转多云,南风 小于3级
2013-04-02,23℃,15℃,小雨,南风 小于3级
2013-04-03,24℃,14℃,阴,南风 小于3级
2013-04-04,24℃,15℃,多云,南风 小于3级
2013-04-05,18℃,12℃,中雨转阵雨,南风~北风 小于3级~3-4级
2013-04-06,21℃,9℃,阴转多云,南风 小于3级
2013-04-07,21℃,9℃,多云,南风 小于3级
2013-04-08,22℃,10℃,多云,南风 小于3级
2013-04-09,19℃,13℃,阵雨转阴,微风 小于3级
2013-04-10,19℃,12℃,阵雨,南风 小于3级
2013-05-01,25℃,18℃,阵雨,南风 小于3级
2013-05-02,24℃,17℃,小雨,微风 小于3级
2013-05-03,27℃,16℃,阵雨,微风 小于3级
2013-05-04,24℃,17℃,多云转阵雨,南风 小于3级
2013-05-05,24℃,16℃,小雨转阴,南风 小于3级
2013-05-06,23℃,16℃,小雨,微风 小于3级
2013-05-07,23℃,16℃,阴转小雨,微风 小于3级
2013-05-08,23℃,16℃,雷阵雨转阵雨,北风 3-4级
2013-05-09,23℃,16℃,中雨,微风 小于3级
2013-05-10,28℃,16℃,阴转多云,微风 小于3级
2013-06-01,30℃,18℃,多云,南风 小于3级
2013-06-02,32℃,18℃,多云,南风 小于3级
2013-06-03,32℃,20℃,晴,南风 小于3级
2013-06-04,34℃,21℃,多云,南风 小于3级
2013-06-05,29℃,20℃,阴转阵雨,微风 小于3级
2013-06-06,31℃,21℃,阵雨转多云,微风~南风 小于3级
2013-06-07,31℃,22℃,多云,南风 小于3级
2013-06-08,29℃,21℃,多云转中雨,南风 小于3级
2013-06-09,28℃,19℃,阵雨转多云,微风~南风 小于3级
2013-06-10,31℃,18℃,多云,南风 小于3级
2013-07-01,27℃,23℃,中雨,北风 3-4级
2013-07-02,29℃,23℃,中雨转多云,南风 小于3级
2013-07-03,32℃,24℃,阵雨,南风 小于3级
2013-07-04,30℃,24℃,阵雨,南风~北风 小于3级~3-4级
2013-07-05,31℃,23℃,阵雨转多云,北风 3-4级
2013-07-06,32℃,24℃,多云,南风 小于3级
2013-07-07,33℃,24℃,多云,南风 小于3级
2013-07-08,31℃,24℃,中雨,南风 小于3级
2013-07-09,28℃,23℃,大雨,北风 3-4级
2013-07-10,26℃,23℃,大雨,北风 3-4级
2013-08-01,32℃,24℃,中雨转多云,微风 小于3级
2013-08-02,33℃,24℃,多云,南风 小于3级
2013-08-03,33℃,23℃,多云,南风 小于3级
2013-08-04,34℃,25℃,多云,南风 小于3级
2013-08-05,33℃,24℃,多云,南风 小于3级
2013-08-06,33℃,24℃,阵雨,南风 小于3级
2013-08-07,30℃,24℃,大雨,微风 小于3级
2013-08-08,28℃,21℃,中雨转阴,北风 小于3级
2013-08-09,30℃,22℃,多云,南风 小于3级
2013-08-10,30℃,21℃,多云,南风 小于3级
2013-09-01,27℃,20℃,阵雨转多云,南风 小于3级
2013-09-02,23℃,19℃,中雨,北风 3-4级
2013-09-03,23℃,19℃,阵雨转阴,微风 小于3级
2013-09-04,23℃,19℃,中雨,微风 小于3级
2013-09-05,22℃,18℃,阵雨,微风 小于3级
2013-09-06,23℃,18℃,阵雨转阴,微风 小于3级
2013-09-07,23℃,18℃,阵雨转阴,微风 小于3级
2013-09-08,23℃,17℃,中雨,微风 小于3级
2013-09-09,26℃,18℃,阵雨转阴,微风 小于3级
2013-09-10,27℃,19℃,多云,微风 小于3级
2013-10-01,25℃,15℃,阴转多云,南风 小于3级
2013-10-02,24℃,17℃,阴,微风 小于3级
2013-10-03,24℃,17℃,阵雨,东南风 小于3级
2013-10-04,22℃,16℃,阵雨,微风 小于3级
2013-10-05,23℃,17℃,阵雨,微风 小于3级
2013-10-06,24℃,17℃,多云,东南风 小于3级
2013-10-07,27℃,16℃,多云,南风 小于3级
2013-10-08,28℃,16℃,多云,南风 小于3级
2013-10-09,30℃,16℃,多云,南风 小于3级
2013-10-10,30℃,16℃,晴,南风 小于3级
2013-11-01,18℃,12℃,阴转阵雨,微风 小于3级
2013-11-02,20℃,13℃,阵雨转多云,微风 小于3级
2013-11-03,17℃,13℃,小雨,微风 小于3级
2013-11-04,18℃,13℃,阵雨转阴,微风 小于3级
2013-11-05,19℃,13℃,阵雨转多云,微风 小于3级
2013-11-06,20℃,13℃,阴转多云,南风 小于3级
2013-11-07,18℃,13℃,阴,微风 小于3级
2013-11-08,17℃,12℃,阴转多云,微风 小于3级
2013-11-09,19℃,13℃,阴,南风 小于3级
2013-11-10,16℃,13℃,阵雨,南风~微风 小于3级
2013-12-01,15℃,4℃,多云,南风 小于3级
2013-12-02,15℃,4℃,多云,南风 小于3级
2013-12-03,17℃,3℃,多云转晴,南风 小于3级
2013-12-04,15℃,3℃,多云,南风 小于3级
2013-12-05,17℃,4℃,阴转多云,南风 小于3级
2013-12-06,17℃,4℃,多云,南风 小于3级
2013-12-07,15℃,2℃,多云,东风 小于3级
2013-12-08,13℃,5℃,阴转阵雨,微风 小于3级
2013-12-09,14℃,4℃,多云,微风 小于3级
2013-12-10,13℃,4℃,阴转多云,微风 小于3级
2014-01-01,9℃,0℃,阴转多云,南风 小于3级
2014-01-02,8℃,2℃,阴转多云,微风 小于3级
2014-01-03,11℃,0℃,多云,微风 小于3级
2014-01-04,13℃,-2℃,多云,南风 小于3级
2014-01-05,11℃,3℃,多云转阴,南风 小于3级
2014-01-06,9℃,3℃,阴转小雨,南风~微风 小于3级
2014-01-07,9℃,4℃,小雨转阴,微风 小于3级
2014-01-08,10℃,2℃,阴转多云,微风 小于3级
2014-01-09,9℃,2℃,多云转阴,南风 小于3级
2014-01-10,8℃,3℃,阴,南风 小于3级
2014-02-01,16℃,4℃,多云,南风 小于3级
2014-02-02,18℃,5℃,多云转晴,南风 小于3级
2014-02-03,18℃,5℃,多云转晴,南风 小于3级
2014-02-04,15℃,10℃,多云转阴,南风 小于3级
2014-02-05,13℃,9℃,阴转小雨,微风 小于3级
2014-02-06,10℃,6℃,小雨转阴,微风 小于3级
2014-02-07,9℃,3℃,阴转多云,微风 小于3级
2014-02-08,7℃,3℃,小雨,微风 小于3级
2014-02-09,7℃,4℃,阴,微风 小于3级
2014-02-10,7℃,4℃,小雨,北风 小于3级
2014-03-01,12℃,6℃,阵雨转阴,东北风 小于3级
2014-03-02,12℃,7℃,阵雨,微风 小于3级
2014-03-03,11℃,7℃,阴,北风 小于3级
2014-03-04,15℃,5℃,阴转多云,微风 小于3级
2014-03-05,15℃,7℃,多云转阴,微风 小于3级
2014-03-06,11℃,8℃,小雨,微风 小于3级
2014-03-07,11℃,7℃,小雨,微风 小于3级
2014-03-08,13℃,7℃,阴转多云,北风~南风 小于3级
2014-03-09,16℃,7℃,阴转多云,南风 小于3级
2014-03-10,16℃,8℃,多云,南风 小于3级
2014-04-01,19℃,12℃,小雨转阴,微风 小于3级
2014-04-02,20℃,10℃,阴,微风 小于3级
2014-04-03,23℃,12℃,多云,微风 小于3级
2014-04-04,21℃,13℃,阴,微风 小于3级
2014-04-05,17℃,12℃,小雨,微风 小于3级
2014-04-06,22℃,11℃,小雨转多云,微风 小于3级
2014-04-07,22℃,13℃,阴转多云,南风 小于3级
2014-04-08,22℃,14℃,阴转多云,南风 小于3级
2014-04-09,22℃,14℃,小雨转阴,南风 小于3级
2014-04-10,24℃,15℃,阴,南风 小于3级
2014-05-01,25℃,14℃,多云转阴,南风~微风 小于3级
2014-05-02,22℃,15℃,阵雨转阴,北风~微风 3-4级~小于3级
2014-05-03,22℃,15℃,阵雨,南风 小于3级
2014-05-04,25℃,14℃,阵雨转多云,微风~南风 小于3级
2014-05-05,26℃,14℃,多云,南风 小于3级
2014-05-06,27℃,15℃,多云,南风 小于3级
2014-05-07,28℃,14℃,多云,南风 小于3级
2014-05-08,24℃,15℃,多云转阵雨,南风 小于3级
2014-05-09,25℃,16℃,阵雨,南风 小于3级
2014-05-10,24℃,16℃,阵雨,微风 小于3级
2014-06-01,32℃,23℃,多云,南风 小于3级
2014-06-02,32℃,24℃,多云,南风 小于3级
2014-06-03,28℃,22℃,阵雨,南风 小于3级
2014-06-04,27℃,23℃,中雨转阵雨,微风 小于3级
2014-06-05,28℃,22℃,阵雨,微风 小于3级
2014-06-06,29℃,21℃,阵雨转阴,微风 小于3级
2014-06-07,31℃,21℃,阵雨转多云,微风 小于3级
2014-06-08,32℃,20℃,多云转阵雨,北风 小于3级
2014-06-09,32℃,20℃,多云转阵雨,北风 小于3级
2014-06-10,19℃,24℃,阵雨,东南风 北风小于3级
2014-07-01,29℃,20℃,阵雨转多云,西南风 南风小于3级
2014-07-02,28℃,22℃,阵雨转多云,北风 南风小于3级
2014-07-03,22℃,31℃,多云,东北风 南风小于3级
2014-07-04,21℃,32℃,多云,北风 南风小于3级
2014-07-05,28℃,24℃,阵雨,北风 南风小于3级
2014-07-06,28℃,23℃,阵雨,东风 北风小于3级
2014-07-07,23℃,29℃,阵雨,西南风 北风小于3级
2014-07-08,28℃,24℃,中雨,东北风 微风
2014-07-09,26℃,21℃,大雨转阵雨,东北风 北风3-4级
2014-07-10,27℃,21℃,阵雨转阴,西风 微风
2014-08-01,32℃,23℃,大雨转阵雨,微风 小于3级
2014-08-02,32℃,24℃,多云,南风 小于3级
2014-08-03,34℃,24℃,多云,南风 小于3级
2014-08-04,33℃,24℃,阵雨转多云,南风 小于3级
2014-08-05,32℃,23℃,阵雨转多云,南风 小于3级
2014-08-06,33℃,23℃,阵雨转多云,南风 小于3级
2014-08-07,30℃,23℃,大雨转阵雨,北风~微风 3-4级~小于3级
2014-08-08,29℃,23℃,中雨转阵雨,南风 小于3级
2014-08-09,26℃,22℃,大雨转阵雨,北风 3-4级
2014-08-10,27℃,22℃,阵雨,微风 小于3级
2014-09-01,26℃,21℃,中雨,北风 3-4级
2014-09-02,27℃,21℃,阵雨转阴,微风 小于3级
2014-09-03,27℃,19℃,阴转多云,微风 小于3级
2014-09-04,28℃,17℃,阴转多云,南风 小于3级
2014-09-05,28℃,18℃,多云,南风 小于3级
2014-09-06,27℃,21℃,阵雨转多云,南风 小于3级
2014-09-07,28℃,21℃,小雨转阴,南风 小于3级
2014-09-08,28℃,22℃,阵雨转阴,南风 小于3级
2014-09-09,26℃,21℃,中雨,南风~微风 小于3级
2014-09-10,28℃,22℃,阵雨转阴,微风 小于3级
2014-10-01,26℃,19℃,小雨转阴,微风 小于3级
2014-10-02,29℃,18℃,多云,南风 小于3级
2014-10-03,28℃,19℃,多云,南风 小于3级
2014-10-04,28℃,19℃,阵雨转多云,微风 小于3级
2014-10-05,29℃,16℃,多云,南风 小于3级
2014-10-06,26℃,15℃,多云,南风 小于3级
2014-10-07,26℃,17℃,多云,南风 小于3级
2014-10-08,26℃,18℃,阴,南风 小于3级
2014-10-09,25℃,19℃,阵雨转阴,微风 小于3级
2014-10-10,23℃,17℃,阵雨转阴,微风 小于3级
2014-11-01,17℃,13℃,小雨,微风 小于3级
2014-11-02,16℃,12℃,阵雨转多云,微风 小于3级
2014-11-03,18℃,7℃,多云,南风 小于3级
2014-11-04,17℃,9℃,多云转阴,南风 小于3级
2014-11-05,19℃,9℃,多云,南风 小于3级
2014-11-06,18℃,12℃,多云转阴,南风 小于3级
2014-11-07,18℃,12℃,阵雨转阴,微风 小于3级
2014-11-08,15℃,10℃,阵雨转阴,微风 小于3级
2014-11-09,15℃,10℃,阵雨转阴,微风 小于3级
2014-11-10,15℃,10℃,阵雨转阴,微风 小于3级
2014-12-01,12℃,8℃,阴,南风 小于3级
2014-12-02,13℃,7℃,阴,微风 小于3级
2014-12-03,13℃,9℃,阵雨,微风 小于3级
2014-12-04,13℃,4℃,多云,微风 小于3级
2014-12-05,13℃,7℃,多云,微风 小于3级
2014-12-06,11℃,8℃,阴转小雨,微风 小于3级
2014-12-07,13℃,6℃,阴转多云,微风 小于3级
2014-12-08,13℃,4℃,多云,微风 小于3级
2014-12-09,8℃,6℃,小雨,微风 小于3级
2014-12-10,8℃,4℃,小雨转阴,微风 小于3级
2015-01-01,12℃,4℃,多云,南风 小于3级
2015-01-02,10℃,5℃,阴,南风 小于3级
2015-01-03,11℃,3℃,多云,南风 小于3级
2015-01-04,9℃,1℃,阴,南风 小于3级
2015-01-05,9℃,5℃,阴转小雨,微风 小于3级
2015-01-06,11℃,2℃,阴转多云,微风~南风 小于3级
2015-01-07,9℃,3℃,多云转阴,微风 小于3级
2015-01-08,11℃,5℃,小雨转阴,微风 小于3级
2015-01-09,12℃,2℃,多云,南风 小于3级
2015-01-10,12℃,2℃,多云,微风 小于3级
2015-02-01,5℃,2℃,阴,微风 小于3级
2015-02-02,10℃,2℃,阴,微风 小于3级
2015-02-03,10℃,2℃,多云,微风 小于3级
2015-02-04,11℃,2℃,多云,微风 小于3级
2015-02-05,11℃,2℃,多云,南风 小于3级
2015-02-06,11℃,2℃,多云,南风 小于3级
2015-02-07,13℃,4℃,阴转多云,南风 小于3级
2015-02-08,11℃,0℃,多云,南风 小于3级
2015-02-09,11℃,4℃,阴,南风 小于3级
2015-02-10,11℃,4℃,阴,南风 小于3级
2015-03-01,14℃,2℃,阴转多云,南风 小于3级
2015-03-02,13℃,4℃,多云,南风 小于3级
2015-03-03,12℃,5℃,阴,微风 小于3级
2015-03-04,10℃,6℃,小雨,微风 小于3级
2015-03-05,10℃,4℃,小雨转阴,微风 小于3级
2015-03-06,12℃,3℃,阴,南风 小于3级
2015-03-07,14℃,6℃,阴转多云,南风 小于3级
2015-03-08,17℃,7℃,阴转多云,南风 小于3级
2015-03-09,20℃,7℃,晴,南风 小于3级
2015-03-10,15℃,8℃,小雨,微风 小于3级
2015-04-01,26℃,18℃,小雨转阴,微风 小于3级
2015-04-02,30℃,18℃,阵雨转多云,微风 小于3级
2015-04-03,27℃,18℃,多云,南风 小于3级
2015-04-04,26℃,17℃,阵雨转多云,南风 小于3级
2015-04-05,21℃,16℃,小雨,北风 小于3级
2015-04-06,16℃,12℃,小雨,微风 小于3级
2015-04-07,17℃,11℃,小雨,微风 小于3级
2015-04-08,17℃,10℃,多云转阵雨,微风 小于3级
2015-04-09,18℃,9℃,小雨转阴,微风 小于3级
2015-04-10,17℃,10℃,小雨,微风 小于3级
2015-05-01,26℃,18℃,中雨转阴,微风 小于3级
2015-05-02,30℃,16℃,多云,南风 小于3级
2015-05-03,27℃,17℃,多云,南风 小于3级
2015-05-04,25℃,18℃,阵雨转阴,微风 小于3级
2015-05-05,25℃,15℃,阵雨转阴,微风 小于3级
2015-05-06,28℃,16℃,阴转多云,微风 小于3级
2015-05-07,30℃,18℃,多云转阵雨,南风 小于3级
2015-05-08,30℃,17℃,多云,南风 小于3级
2015-05-09,32℃,18℃,晴~多云,南风 小于3级
2015-05-10,30℃,17℃,多云,南风 小于3级
2015-06-01,32℃,22℃,多云,南风 小于3级
2015-06-02,31℃,22℃,多云,南风 小于3级
2015-06-03,29℃,20℃,多云~小到中雨,南风 小于3级
2015-06-04,27℃,20℃,阵雨~多云,南风 小于3级
2015-06-05,31℃,20℃,多云,南风 小于3级
2015-06-06,29℃,19℃,多云~小雨,南风 小于3级
2015-06-07,30℃,20℃,多云,南风 小于3级
2015-06-08,32℃,21℃,多云,南风 小于3级
2015-06-09,32℃,23℃,多云,南风 小于3级
2015-06-10,32℃,24℃,多云,南风 小于3级
2015-07-01,32℃,23℃,多云~阵雨,南风 小于3级
2015-07-02,29℃,21℃,阵雨~小到中雨,南风 小于3级
2015-07-03,26℃,19℃,中雨,南风 小于3级
2015-07-04,24℃,19℃,小到中雨~阵雨,南风 小于3级
2015-07-05,28℃,20℃,多云,南风 小于3级
2015-07-06,30℃,21℃,多云~阴,南风 小于3级
2015-07-07,30℃,21℃,多云,南风 小于3级
2015-07-08,30℃,21℃,阴~中雨,南风 小于3级
2015-07-09,28℃,20℃,中雨~多云,南风 小于3级
2015-07-10,32℃,22℃,多云,南风 小于3级
2015-08-01,34℃,24℃,阵雨,南风 小于3级
2015-08-02,35℃,24℃,多云~阵雨,南风 小于3级
2015-08-03,35℃,24℃,雷阵雨,南风 小于3级
2015-08-04,31℃,23℃,雷阵雨~阵雨,南风 小于3级
2015-08-05,34℃,22℃,多云,南风 小于3级
2015-08-06,35℃,22℃,多云,南风 小于3级
2015-08-07,29℃,22℃,阵雨~中雨,南风 小于3级
2015-08-08,24℃,20℃,中雨~阵雨,南风 小于3级
2015-08-09,31℃,22℃,多云,南风 小于3级
